REGION,States/UTs,District,Year,CRIME_TYPE,COUNT
Telangana (state),Telangana,Cyberabad,2014,Sedition,0
Telangana (state),Telangana,Cyberabad,2014,Sexual Harassment,55
Telangana (state),Telangana,Cyberabad,2014,Stalking,137
Telangana (state),Telangana,Cyberabad,2014,Theft,4182
Telangana (state),Telangana,Cyberabad,2014,Total Cognizable IPC crimes,19311
Telangana (state),Telangana,Cyberabad,2014,Unlawful Assembly,1
Telangana (state),Telangana,Cyberabad,2014,Unnatural Offence,1
Telangana (state),Telangana,Cyberabad,2014,Using forged or counterfeiting currency/Bank notes,3
Telangana (state),Telangana,Cyberabad,2014,Voyeurism,7
Telangana (state),Telangana,Hyderabad City,2014,Acid attack,0
Telangana (state),Telangana,Hyderabad City,2014,Arson,20
Telangana (state),Telangana,Hyderabad City,2014,Assault on Women with intent to outrage her Modesty,393
Telangana (state),Telangana,Hyderabad City,2014,Assault or use of criminal force to women with intent to Disrobe,18
Telangana (state),Telangana,Hyderabad City,2014,At Office premises,4
Telangana (state),Telangana,Hyderabad City,2014,Attempt to Acid Attack,0
Telangana (state),Telangana,Hyderabad City,2014,Attempt to commit Culpable Homicide,0
Telangana (state),Telangana,Hyderabad City,2014,Attempt to commit Murder,163
Telangana (state),Telangana,Hyderabad City,2014,Attempt to commit Rape,2
Telangana (state),Telangana,Hyderabad City,2014,Auto Theft,1396
Telangana (state),Telangana,Hyderabad City,2014,Causing Death by Negligence,441
Telangana (state),Telangana,Hyderabad City,2014,Cheating,2557
Telangana (state),Telangana,Hyderabad City,2014,Counterfeit Offences related to Counterfeit Coin,0
Telangana (state),Telangana,Hyderabad City,2014,Counterfeit currency & Bank notes,37
Telangana (state),Telangana,Hyderabad City,2014,Counterfeiting,37
Telangana (state),Telangana,Hyderabad City,2014,Counterfeiting Government Stamp,0
Telangana (state),Telangana,Hyderabad City,2014,Counterfeiting currency notes/Bank notes,6
Telangana (state),Telangana,Hyderabad City,2014,Criminal Breach of Trust,97
Telangana (state),Telangana,Hyderabad City,2014,Criminal Trespass or Burglary,613
Telangana (state),Telangana,Hyderabad City,2014,Criminal Trespass/Burglary,754
Telangana (state),Telangana,Hyderabad City,2014,Cruelty by Husband or his Relatives,1289
Telangana (state),Telangana,Hyderabad City,2014,Culpable Homicide not amounting to Murder,6
Telangana (state),Telangana,Hyderabad City,2014,Custodial Rape,0
Telangana (state),Telangana,Hyderabad City,2014,Custodial_Gang Rape,0
Telangana (state),Telangana,Hyderabad City,2014,Custodial_Other Rape,0
Telangana (state),Telangana,Hyderabad City,2014,Dacoity,9
Telangana (state),Telangana,Hyderabad City,2014,Dacoity with Murder,0
Telangana (state),Telangana,Hyderabad City,2014,Deaths due to Other Causes,20
Telangana (state),Telangana,Hyderabad City,2014,Deaths due to negligent driving/act,421
Telangana (state),Telangana,Hyderabad City,2014,Disclosure of Identity of Victims,0
Telangana (state),Telangana,Hyderabad City,2014,Dowry Deaths,22
Telangana (state),Telangana,Hyderabad City,2014,Extortion,47
Telangana (state),Telangana,Hyderabad City,2014,Forgery,43
Telangana (state),Telangana,Hyderabad City,2014,Grievous Hurt,119
Telangana (state),Telangana,Hyderabad City,2014,House Trespass & House Breaking,141
Telangana (state),Telangana,Hyderabad City,2014,HumanTrafficking,5
Telangana (state),Telangana,Hyderabad City,2014,Hurt,119
Telangana (state),Telangana,Hyderabad City,2014,Importation of Girls from Foreign Country,0
Telangana (state),Telangana,Hyderabad City,2014,"Imputation, assertions prejudicial to national integration",0
Telangana (state),Telangana,Hyderabad City,2014,In Public Transport system,0
Telangana (state),Telangana,Hyderabad City,2014,Incidence of Rash Driving,2254
Telangana (state),Telangana,Hyderabad City,2014,Insult to the Modesty of Women,87
Telangana (state),Telangana,Hyderabad City,2014,Kidnapping & Abduction,235
Telangana (state),Telangana,Hyderabad City,2014,Kidnapping & Abduction in order to Murder,0
Telangana (state),Telangana,Hyderabad City,2014,Kidnapping & Abduction of Women to compel her for marriage,6
Telangana (state),Telangana,Hyderabad City,2014,Kidnapping & Abduction_Total,374
Telangana (state),Telangana,Hyderabad City,2014,Kidnapping for Ransom,1
Telangana (state),Telangana,Hyderabad City,2014,Making Preparation and Assembly for committing Dacoity,0
Telangana (state),Telangana,Hyderabad City,2014,Making or Possessing materials for forged currency/Bank notes,0
Telangana (state),Telangana,Hyderabad City,2014,Making or Using documents resembling currency,0
Telangana (state),Telangana,Hyderabad City,2014,Murder,118
Telangana (state),Telangana,Hyderabad City,2014,Offences against State,1
Telangana (state),Telangana,Hyderabad City,2014,Offences promoting enmity between different groups,0
Telangana (state),Telangana,Hyderabad City,2014,Other Assault on Women,213
Telangana (state),Telangana,Hyderabad City,2014,Other Dacoity,9
Telangana (state),Telangana,Hyderabad City,2014,Other IPC crimes,5584
Telangana (state),Telangana,Hyderabad City,2014,Other Kidnapping,132
Telangana (state),Telangana,Hyderabad City,2014,Other Thefts,2870
Telangana (state),Telangana,Hyderabad City,2014,Other offences against State,1
Telangana (state),Telangana,Hyderabad City,2014,Other places related to work,23
Telangana (state),Telangana,Hyderabad City,2014,"Places other than 231, 232 & 233",60
Telangana (state),Telangana,Hyderabad City,2014,Possession of forged or counterfeiting currency/Bank notes,5
Telangana (state),Telangana,Hyderabad City,2014,Promoting enmity between different groups,0
Telangana (state),Telangana,Hyderabad City,2014,Rape,126
Telangana (state),Telangana,Hyderabad City,2014,Rape other than Custodial,126
Telangana (state),Telangana,Hyderabad City,2014,Rape_Gang Rape,1
Telangana (state),Telangana,Hyderabad City,2014,Rape_Others,125
Telangana (state),Telangana,Hyderabad City,2014,Riots,57
Telangana (state),Telangana,Hyderabad City,2014,Riots_Agrarian,0
Telangana (state),Telangana,Hyderabad City,2014,Riots_Caste Conflict,11
Telangana (state),Telangana,Hyderabad City,2014,Riots_Communal,4
Telangana (state),Telangana,Hyderabad City,2014,Riots_Industrial,0
Telangana (state),Telangana,Hyderabad City,2014,Riots_Other Caste Conflict,9
Telangana (state),Telangana,Hyderabad City,2014,Riots_Others,29
Telangana (state),Telangana,Hyderabad City,2014,Riots_Political,0
Telangana (state),Telangana,Hyderabad City,2014,Riots_SC/STs Vs Non-SCs/STs,2
Telangana (state),Telangana,Hyderabad City,2014,Riots_Sectarian,0
Telangana (state),Telangana,Hyderabad City,2014,Riots_Students,13
Telangana (state),Telangana,Hyderabad City,2014,Robbery,58
Telangana (state),Telangana,Hyderabad City,2014,Sedition,0
Telangana (state),Telangana,Hyderabad City,2014,Sexual Harassment,115
Telangana (state),Telangana,Hyderabad City,2014,Stalking,35
Telangana (state),Telangana,Hyderabad City,2014,Theft,4266
Telangana (state),Telangana,Hyderabad City,2014,Total Cognizable IPC crimes,18940
Telangana (state),Telangana,Hyderabad City,2014,Unlawful Assembly,4
Telangana (state),Telangana,Hyderabad City,2014,Unnatural Offence,7
Telangana (state),Telangana,Hyderabad City,2014,Using forged or counterfeiting currency/Bank notes,26
Telangana (state),Telangana,Hyderabad City,2014,Voyeurism,12
Telangana (state),Telangana,Karimnagar,2014,Acid attack,0
Telangana (state),Telangana,Karimnagar,2014,Arson,38
Telangana (state),Telangana,Karimnagar,2014,Assault on Women with intent to outrage her Modesty,373
Telangana (state),Telangana,Karimnagar,2014,Assault or use of criminal force to women with intent to Disrobe,3
Telangana (state),Telangana,Karimnagar,2014,At Office premises,0
Telangana (state),Telangana,Karimnagar,2014,Attempt to Acid Attack,0
Telangana (state),Telangana,Karimnagar,2014,Attempt to commit Culpable Homicide,0
Telangana (state),Telangana,Karimnagar,2014,Attempt to commit Murder,136
Telangana (state),Telangana,Karimnagar,2014,Attempt to commit Rape,0
Telangana (state),Telangana,Karimnagar,2014,Auto Theft,245
Telangana (state),Telangana,Karimnagar,2014,Causing Death by Negligence,543
Telangana (state),Telangana,Karimnagar,2014,Cheating,813
Telangana (state),Telangana,Karimnagar,2014,Counterfeit Offences related to Counterfeit Coin,0
Telangana (state),Telangana,Karimnagar,2014,Counterfeit currency & Bank notes,6
Telangana (state),Telangana,Karimnagar,2014,Counterfeiting,6
Telangana (state),Telangana,Karimnagar,2014,Counterfeiting Government Stamp,0
Telangana (state),Telangana,Karimnagar,2014,Counterfeiting currency notes/Bank notes,6
Telangana (state),Telangana,Karimnagar,2014,Criminal Breach of Trust,108
Telangana (state),Telangana,Karimnagar,2014,Criminal Trespass or Burglary,268
Telangana (state),Telangana,Karimnagar,2014,Criminal Trespass/Burglary,377
Telangana (state),Telangana,Karimnagar,2014,Cruelty by Husband or his Relatives,737
Telangana (state),Telangana,Karimnagar,2014,Culpable Homicide not amounting to Murder,14
Telangana (state),Telangana,Karimnagar,2014,Custodial Rape,0
Telangana (state),Telangana,Karimnagar,2014,Custodial_Gang Rape,0
Telangana (state),Telangana,Karimnagar,2014,Custodial_Other Rape,0
Telangana (state),Telangana,Karimnagar,2014,Dacoity,5
Telangana (state),Telangana,Karimnagar,2014,Dacoity with Murder,0
Telangana (state),Telangana,Karimnagar,2014,Deaths due to Other Causes,0
Telangana (state),Telangana,Karimnagar,2014,Deaths due to negligent driving/act,543
Telangana (state),Telangana,Karimnagar,2014,Disclosure of Identity of Victims,0
Telangana (state),Telangana,Karimnagar,2014,Dowry Deaths,34
Telangana (state),Telangana,Karimnagar,2014,Extortion,2
Telangana (state),Telangana,Karimnagar,2014,Forgery,0
Telangana (state),Telangana,Karimnagar,2014,Grievous Hurt,187
Telangana (state),Telangana,Karimnagar,2014,House Trespass & House Breaking,109
Telangana (state),Telangana,Karimnagar,2014,HumanTrafficking,0
Telangana (state),Telangana,Karimnagar,2014,Hurt,187
Telangana (state),Telangana,Karimnagar,2014,Importation of Girls from Foreign Country,0
Telangana (state),Telangana,Karimnagar,2014,"Imputation, assertions prejudicial to national integration",0
Telangana (state),Telangana,Karimnagar,2014,In Public Transport system,0
Telangana (state),Telangana,Karimnagar,2014,Incidence of Rash Driving,955
Telangana (state),Telangana,Karimnagar,2014,Insult to the Modesty of Women,70
Telangana (state),Telangana,Karimnagar,2014,Kidnapping & Abduction,37
